Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item Group,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,458,Malaysia,5510,Production,2166,Oil,Coconut oil,2022,2022,t,54800,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,458,Malaysia,5510,Production,232,Eggs,"Eggs from other birds in shell, fresh, n.e.c.",2022,2022,t,15600,E,Estimated value,
QCL,Crops and livestock products,458,Malaysia,5510,Production,232,Eggs,"Eggs from other birds in shell, fresh, n.e.c.",2023,2023,t,15600,E,Estimated value,
QCL,Crops and livestock products,458,Malaysia,5510,Production,2162,Oil,Groundnut oil,2022,2022,t,4092.81,I,"Value 
imputed by a
receiving 
agency",
QCL,Crops and livestock products,458,Malaysia,5510,Production,231,Eggs,"Hen eggs in shell, fresh",2022,2022,t,843474.18,A,Official figure,
QCL,Crops and livestock products,458,Malaysia,5510,Production,231,Eggs,"Hen eggs in shell, fresh",2023,2023,t,980290.54,A,Official figure,
QCL,Crops and livestock products,458,Malaysia,5510,Production,21121,Chicken,"Meat of chickens, fresh or chilled",2022,2022,t,1543425.32,A,Official figure,
QCL,Crops and livestock products,458,Malaysia,5510,Production,21121,Chicken,"Meat of chickens, fresh or chilled",2023,2023,t,1564606.18,A,Official figure,
QCL,Crops and livestock products,458,Malaysia,5510,Production,21691.14,Oil,Oil of palm kernel,2022,2022,t,2096913,A,Official figure,
QCL,Crops and livestock products,458,Malaysia,5510,Production,21691.07,Oil,Oil of sesame seed,2022,2022,t,4600.55,I,"Value 
imputed by a
receiving 
agency",
QCL,Crops and livestock products,458,Malaysia,5510,Production,2165,Oil,Palm oil,2022,2022,t,18453420,A,Official figure,
QCL,Crops and livestock products,458,Malaysia,5510,Production,21641.01,Oil,"Rapeseed or canola oil, crude",2022,2022,t,21700,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,458,Malaysia,5510,Production,2351f,Sugar,Raw cane or beet sugar (centrifugal only),2022,2022,t,2068.23,I,"Value 
imputed by a
receiving 
agency",
QCL,Crops and livestock products,458,Malaysia,5510,Production,113,Rice,Rice,2022,2022,t,2281736,A,Official figure,
QCL,Crops and livestock products,458,Malaysia,5510,Production,113,Rice,Rice,2023,2023,t,2166738,A,Official figure,
QCL,Crops and livestock products,458,Malaysia,5510,Production,2161,Oil,Soya bean oil,2022,2022,t,105900,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,458,Malaysia,5510,Production,21631.01,Oil,"Sunflower-seed oil, crude",2022,2022,t,1130.54,I,"Value 
imputed by a
receiving 
agency",
