digits,division,group,class,subclass,desc_en,desc_bm
1,overall,-,-,-,All items,Semua item
2,01,-,-,-,Food & Beverages,Makanan & Minuman
3,01,001,-,-,Food away from home,Makanan di luar rumah
4,01,001,0011,-,Food away from home,Makanan di luar rumah
5,01,001,0011,00111,Food away from home,Makanan di luar rumah
3,01,011,-,-,Food at home,Makanan di rumah
4,01,011,0111,-,Cereals & cereal products,Bijirin & produk bijirin
5,01,011,0111,01111,Cereals,Bijirin
5,01,011,0111,01112,Flour of cereals,Tepung bijirin
5,01,011,0111,01113,Bread & bakery products,Roti & produk bakeri
5,01,011,0111,01114,Breakfast cereals,Bijirin sarapan
5,01,011,0111,01115,"Macaroni, noodles & pasta products","Makaroni, mi & produk pasta"
4,01,011,0112,-,Meat,Daging
5,01,011,0112,01122,"Meat, fresh, chilled or frozen","Daging segar, disejukkan atau beku"
5,01,011,0112,01124,"Offal fresh, chilled or frozen","Organ dalaman segar, disejukkan atau beku"
5,01,011,0112,01125,Food preparation from meat and offal,Makanan tersedia dari daging dan organ dalaman
4,01,011,0113,-,Fish & other seafood,Ikan & makanan laut lain
5,01,011,0113,01131,"Fish, live, fresh, chilled or frozen","Ikan hidup, segar, sejuk & beku"
5,01,011,0113,01132,"Fish, dried and salted",Ikan yang dikeringkan dan diasinkan
5,01,011,0113,01133,Fish preparations,Makanan tersedia dari ikan
5,01,011,0113,01134,"Other seafood, live, fresh, chilled or frozen","Makanan laut lain hidup, segar, sejuk atau beku"
5,01,011,0113,01135,"Other seafood, dried, salted, in brine or smoked","Makanan laut lain yang dikeringkan, diasinkan"
5,01,011,0113,01136,Other seafood preparations,Makanan tersedia dari makanan laut lain
4,01,011,0114,-,"Milk, other dairy products & eggs","Susu, produk tenusu lain & telur"
5,01,011,0114,01141,Raw & whole milk,Susu asli & susu yang dibancuh
5,01,011,0114,01143,Other milk & cream,Lain-lain susu & krim
5,01,011,0114,01144,Non-animal milk,Susu bukan daripada sumber haiwan
5,01,011,0114,01145,Cheese,Keju
5,01,011,0114,01146,Yoghurt & similar products,Yogurt & produk seumpamanya
5,01,011,0114,01148,Eggs,Telur
4,01,011,0115,-,Oils & fats,Minyak & lemak
5,01,011,0115,01151,Vegetable oils,Minyak sayuran
