desc_en,date,yoy_inflation
Alcoholic Beverages & Tobacco,2010-01-31,
Alcoholic Beverages & Tobacco,2010-02-28,
Alcoholic Beverages & Tobacco,2010-03-31,
Alcoholic Beverages & Tobacco,2010-04-30,
Alcoholic Beverages & Tobacco,2010-05-31,
Alcoholic Beverages & Tobacco,2010-06-30,
Alcoholic Beverages & Tobacco,2010-07-31,
Alcoholic Beverages & Tobacco,2010-08-31,
Alcoholic Beverages & Tobacco,2010-09-30,
Alcoholic Beverages & Tobacco,2010-10-31,
Alcoholic Beverages & Tobacco,2010-11-30,
Alcoholic Beverages & Tobacco,2010-12-31,
Alcoholic Beverages & Tobacco,2011-01-31,6.148624133348599
Alcoholic Beverages & Tobacco,2011-02-28,6.148162052440495
Alcoholic Beverages & Tobacco,2011-03-31,6.168493874036507
Alcoholic Beverages & Tobacco,2011-04-30,6.146850603163566
Alcoholic Beverages & Tobacco,2011-05-31,6.1194028749974345
Alcoholic Beverages & Tobacco,2011-06-30,6.133340533323353
Alcoholic Beverages & Tobacco,2011-07-31,6.029139540516374
Alcoholic Beverages & Tobacco,2011-08-31,6.041825857022632
Alcoholic Beverages & Tobacco,2011-09-30,5.981604169397446
Alcoholic Beverages & Tobacco,2011-10-31,0.05364580392304487
Alcoholic Beverages & Tobacco,2011-11-30,0.09552355355285853
Alcoholic Beverages & Tobacco,2011-12-31,0.1136223407736038
Alcoholic Beverages & Tobacco,2012-01-31,0.05368628070228364
Alcoholic Beverages & Tobacco,2012-02-29,0.053742651445134314
Alcoholic Beverages & Tobacco,2012-03-31,0.0897381312617504
Alcoholic Beverages & Tobacco,2012-04-30,0.05400148906987492
Alcoholic Beverages & Tobacco,2012-05-31,0.08992755921602076
Alcoholic Beverages & Tobacco,2012-06-30,0.071496399162356
Alcoholic Beverages & Tobacco,2012-07-31,0.14328484048812054
Alcoholic Beverages & Tobacco,2012-08-31,0.14926603116547987
Alcoholic Beverages & Tobacco,2012-09-30,0.20917289156047458
Alcoholic Beverages & Tobacco,2012-10-31,0.21526949958222338
Alcoholic Beverages & Tobacco,2012-11-30,1.8111457574135583
Alcoholic Beverages & Tobacco,2012-12-31,1.7872321898991252
Alcoholic Beverages & Tobacco,2013-01-31,1.9680342414248444
Alcoholic Beverages & Tobacco,2013-02-28,1.9560717908078686
Alcoholic Beverages & Tobacco,2013-03-31,1.9554922353773012
Alcoholic Beverages & Tobacco,2013-04-30,1.9372852120455821
Alcoholic Beverages & Tobacco,2013-05-31,1.8586737163345315
Alcoholic Beverages & Tobacco,2013-06-30,4.106334742980194
Alcoholic Beverages & Tobacco,2013-07-31,4.009314821809923
Alcoholic Beverages & Tobacco,2013-08-31,4.02038287489031
Alcoholic Beverages & Tobacco,2013-09-30,4.368747981014641
Alcoholic Beverages & Tobacco,2013-10-31,15.746656716917002
Alcoholic Beverages & Tobacco,2013-11-30,13.897681560957011
Alcoholic Beverages & Tobacco,2013-12-31,13.876757953917831
Alcoholic Beverages & Tobacco,2014-01-31,13.784376947325171
Alcoholic Beverages & Tobacco,2014-02-28,13.820438326223607
Alcoholic Beverages & Tobacco,2014-03-31,13.79260322313477
Alcoholic Beverages & Tobacco,2014-04-30,13.790440548988098
Alcoholic Beverages & Tobacco,2014-05-31,13.865576492076903
Alcoholic Beverages & Tobacco,2014-06-30,11.359988368939797
Alcoholic Beverages & Tobacco,2014-07-31,11.447595838894848
Alcoholic Beverages & Tobacco,2014-08-31,11.46722542823766
Alcoholic Beverages & Tobacco,2014-09-30,14.556599385463485
Alcoholic Beverages & Tobacco,2014-10-31,0.1599171876657021
Alcoholic Beverages & Tobacco,2014-11-30,10.24386513232064
Alcoholic Beverages & Tobacco,2014-12-31,10.325040027317499
Alcoholic Beverages & Tobacco,2015-01-31,10.326105191860735
Alcoholic Beverages & Tobacco,2015-02-28,10.276989412977725
Alcoholic Beverages & Tobacco,2015-03-31,10.291212590631178
Alcoholic Beverages & Tobacco,2015-04-30,13.060565198217674
Alcoholic Beverages & Tobacco,2015-05-31,11.618191821383258
Alcoholic Beverages & Tobacco,2015-06-30,11.733270613046813
Alcoholic Beverages & Tobacco,2015-07-31,13.592590635402326
Alcoholic Beverages & Tobacco,2015-08-31,13.602148683854976
Alcoholic Beverages & Tobacco,2015-09-30,10.122722066699183
Alcoholic Beverages & Tobacco,2015-10-31,13.607053712423074
Alcoholic Beverages & Tobacco,2015-11-30,20.736123680318975
Alcoholic Beverages & Tobacco,2015-12-31,22.644208615994014
Alcoholic Beverages & Tobacco,2016-01-31,22.565197877973954
Alcoholic Beverages & Tobacco,2016-02-29,22.559760467518355
Alcoholic Beverages & Tobacco,2016-03-31,22.569440572698106
Alcoholic Beverages & Tobacco,2016-04-30,19.64607842583909
Alcoholic Beverages & Tobacco,2016-05-31,22.272443270070276
Alcoholic Beverages & Tobacco,2016-06-30,22.089131332893345
Alcoholic Beverages & Tobacco,2016-07-31,20.146702649742235
Alcoholic Beverages & Tobacco,2016-08-31,20.05885000880622
Alcoholic Beverages & Tobacco,2016-09-30,20.08054063544458
Alcoholic Beverages & Tobacco,2016-10-31,20.10003699983961
Alcoholic Beverages & Tobacco,2016-11-30,2.73608241716682
Alcoholic Beverages & Tobacco,2016-12-31,1.0911241771069267
Alcoholic Beverages & Tobacco,2017-01-31,1.118468950835077
Alcoholic Beverages & Tobacco,2017-02-28,1.1707090288843478
Alcoholic Beverages & Tobacco,2017-03-31,1.194514347856384
Alcoholic Beverages & Tobacco,2017-04-30,1.1828748005113887
Alcoholic Beverages & Tobacco,2017-05-31,0.20805519326394448
Alcoholic Beverages & Tobacco,2017-06-30,0.1864472440083441
Alcoholic Beverages & Tobacco,2017-07-31,0.08616936521424408
Alcoholic Beverages & Tobacco,2017-08-31,0.10954849536454273
Alcoholic Beverages & Tobacco,2017-09-30,0.11310985283137023
Alcoholic Beverages & Tobacco,2017-10-31,0.10814979770269947
Alcoholic Beverages & Tobacco,2017-11-30,0.15638928002502384
Alcoholic Beverages & Tobacco,2017-12-31,0.16003710646557354
Alcoholic Beverages & Tobacco,2018-01-31,0.01181696033493718
Alcoholic Beverages & Tobacco,2018-02-28,-0.09169161053442719
Alcoholic Beverages & Tobacco,2018-03-31,-0.06579199032127266
Alcoholic Beverages & Tobacco,2018-04-30,0.09191633275677513
Alcoholic Beverages & Tobacco,2018-05-31,0.04019887752167579
Alcoholic Beverages & Tobacco,2018-06-30,-0.5905161519586775
Alcoholic Beverages & Tobacco,2018-07-31,-0.6983559052545573
Alcoholic Beverages & Tobacco,2018-08-31,-0.761907222187156
Alcoholic Beverages & Tobacco,2018-09-30,-0.7709281802508648
Alcoholic Beverages & Tobacco,2018-10-31,-0.6086141267666635
Alcoholic Beverages & Tobacco,2018-11-30,1.3771709172554887
Alcoholic Beverages & Tobacco,2018-12-31,1.4774311916098064
Alcoholic Beverages & Tobacco,2019-01-31,1.642397650033383
Alcoholic Beverages & Tobacco,2019-02-28,1.6929264781106936
Alcoholic Beverages & Tobacco,2019-03-31,1.6660786008976651
Alcoholic Beverages & Tobacco,2019-04-30,1.5204602476792248
Alcoholic Beverages & Tobacco,2019-05-31,1.554604223112771
Alcoholic Beverages & Tobacco,2019-06-30,2.282304113378153
Alcoholic Beverages & Tobacco,2019-07-31,2.4121916830645076
Alcoholic Beverages & Tobacco,2019-08-31,2.526879693822552
Alcoholic Beverages & Tobacco,2019-09-30,2.4902611059858915
Alcoholic Beverages & Tobacco,2019-10-31,2.298398379912109
Alcoholic Beverages & Tobacco,2019-11-30,0.30051317007597217
Alcoholic Beverages & Tobacco,2019-12-31,0.1513395564480602
Alcoholic Beverages & Tobacco,2020-01-31,0.07214506377341068
Alcoholic Beverages & Tobacco,2020-02-29,0.14397365264353854
Alcoholic Beverages & Tobacco,2020-03-31,0.164377263622531
Alcoholic Beverages & Tobacco,2020-04-30,0.12910501177383346
Alcoholic Beverages & Tobacco,2020-05-31,0.11284946725547208
Alcoholic Beverages & Tobacco,2020-06-30,0.0837546869645496
Alcoholic Beverages & Tobacco,2020-07-31,0.20440890557543792
Alcoholic Beverages & Tobacco,2020-08-31,0.2176721073894189
Alcoholic Beverages & Tobacco,2020-09-30,0.31345949665512673
Alcoholic Beverages & Tobacco,2020-10-31,0.3329337272651271
Alcoholic Beverages & Tobacco,2020-11-30,0.3341104883222194
Alcoholic Beverages & Tobacco,2020-12-31,0.42877111799857204
Alcoholic Beverages & Tobacco,2021-01-31,0.5343355277023939
